Дата,Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
2017-11-28,-1.0,761,Пасмурно,З 1м/с,-1.0,761.0,Пасмурно,З 1м/с
2017-11-29,-2.0,761,Пасмурно,В 1м/с,-2.0,762.0,Пасмурно,В 1м/с
2017-11-30,-2.0,764,Пасмурно,ЮВ 2м/с,-2.0,765.0,Пасмурно,ЮВ 2м/с
2017-12-01,-3.0,767,Переменная облачность,Ш,-4.0,767.0,Переменная облачность,Ш
2017-12-02,-5.0,767,Пасмурно,Ю 1м/с,-6.0,767.0,Переменная облачность,Ю 1м/с
2017-12-03,-5.0,763,Малооблачно,Ю 3м/с,-5.0,762.0,Пасмурно,Ю 3м/с
